factor,target,model,states,available_groups,evaluated_groups,features,mae,correlation,sign_accuracy,positive_vof_auc
Environment,local_vof,grouped_oof_ridge,0,4,0,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",,,,
Environment,local_vof,factor_phase_oof_mean,11,4,4,"factor,phase_at_snapshot",0.0,,1.0,
Environment,dense_vof_v2,grouped_oof_ridge,0,4,0,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",,,,
Environment,dense_vof_v2,factor_phase_oof_mean,11,4,4,"factor,phase_at_snapshot",0.06674877847089579,-0.04383289573643964,0.6363636363636364,0.6428571428571429
Environment,h32_dense_vof_v2,grouped_oof_ridge,0,4,0,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",,,,
Environment,h32_dense_vof_v2,factor_phase_oof_mean,11,4,4,"factor,phase_at_snapshot",0.07876689222283775,-0.43359853448183255,0.45454545454545453,0.4
Object,local_vof,grouped_oof_ridge,0,2,0,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",,,,
Object,local_vof,factor_phase_oof_mean,12,2,2,"factor,phase_at_snapshot",0.0,,1.0,
Object,dense_vof_v2,grouped_oof_ridge,0,2,0,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",,,,
Object,dense_vof_v2,factor_phase_oof_mean,12,2,2,"factor,phase_at_snapshot",0.19380311252108293,-0.60081448026883,0.4166666666666667,0.18518518518518517
